"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
1,"1","2026-01-14T19:36:26.354473Z",1,13.899,"Positive","The product exceeded my expectations and works perfectly.","2026-01-14T19:36:26.354473Z"
2,"1","2026-01-14T19:36:37.487185Z",2,10.039,"Negative","I found the book to be quite boring and repetitive.","2026-01-14T19:36:37.487185Z"
3,"1","2026-01-14T19:36:45.674902Z",3,7.571,"Positive","The customer service team was very helpful and responsive.","2026-01-14T19:36:45.674902Z"
4,"1","2026-01-14T19:36:53.283306Z",4,6.644,"Positive","The concert was amazing; I had a great time!","2026-01-14T19:36:53.283306Z"
5,"1","2026-01-14T19:37:04.621238Z",5,10.496,"Negative","Delivery was late, and the item was damaged.","2026-01-14T19:37:04.621238Z"
6,"1","2026-01-14T19:37:12.973273Z",6,7.294,"Positive","Highly recommended, the food was delicious and fresh.","2026-01-14T19:37:12.973273Z"
7,"1","2026-01-14T19:37:19.355014Z",7,5.879,"Positive","The software is intuitive and user-friendly.","2026-01-14T19:37:19.355014Z"
8,"1","2026-01-14T19:37:25.925410Z",8,5.919,"Negative","I don’t think I would buy this product again.","2026-01-14T19:37:25.925410Z"
9,"1","2026-01-14T19:37:33.330165Z",9,6.396,"Positive","The view from the hotel room was breathtaking.","2026-01-14T19:37:33.330165Z"
104,"1","2026-01-14T19:55:26.454188Z",10,8.962,"Negative","The device stopped working after a few days.","2026-01-14T19:55:26.454188Z"
11,"1","2026-01-14T19:38:18.120434Z",11,11.954,"Positive","Everything about this experience was smooth and enjoyable.","2026-01-14T19:38:18.120434Z"
12,"1","2026-01-14T19:38:24.975827Z",12,6.333,"Negative","The packaging was poor, and it arrived broken.","2026-01-14T19:38:24.975827Z"
13,"1","2026-01-14T19:38:34.154371Z",13,8.467,"Positive","An absolute masterpiece, I loved every moment!","2026-01-14T19:38:34.154371Z"
14,"1","2026-01-14T19:38:40.432946Z",14,5.834,"Negative","Too expensive for what you get; not worth it.","2026-01-14T19:38:40.432946Z"
15,"1","2026-01-14T19:38:46.817382Z",15,5.907,"Positive","The restaurant ambiance was cozy and welcoming.","2026-01-14T19:38:46.817382Z"
16,"1","2026-01-14T19:38:59.422472Z",16,11.719,"Negative","Very disappointing; I expected better quality.","2026-01-14T19:38:59.422472Z"
17,"1","2026-01-14T19:39:03.983154Z",17,4.051,"Positive","The instructions were clear and easy to follow.","2026-01-14T19:39:03.983154Z"
18,"1","2026-01-14T19:39:14.298263Z",18,9.566,"Negative","I had to wait too long for the service.","2026-01-14T19:39:14.298263Z"
19,"1","2026-01-14T19:39:21.276562Z",19,6.056,"Positive","Exceptional quality and build; would buy again.","2026-01-14T19:39:21.276562Z"
107,"1","2026-01-14T19:57:24.522883Z",20,12.449000000000002,"Negative","The colors look faded compared to the pictures.","2026-01-14T19:57:24.522883Z"
21,"1","2026-01-14T19:39:42.392965Z",21,11.852,"Positive","Perfect fit, and it feels very comfortable.","2026-01-14T19:39:42.392965Z"
22,"1","2026-01-14T19:39:51.693814Z",22,8.565,"Negative","This app crashes too often to be useful.","2026-01-14T19:39:51.693814Z"
23,"1","2026-01-14T19:40:24.850183Z",23,32.701,"Negative","The material feels cheap and flimsy.","2026-01-14T19:40:24.850183Z"
24,"1","2026-01-14T19:40:37.595305Z",24,12.062,"Positive","Top-notch experience from start to finish.","2026-01-14T19:40:37.595305Z"
25,"1","2026-01-14T19:40:43.371256Z",25,5.285,"Negative","Not as described, it’s a bit misleading.","2026-01-14T19:40:43.371256Z"
26,"1","2026-01-14T19:40:48.547551Z",26,4.602,"Positive","The flavor is unique and absolutely tasty.","2026-01-14T19:40:48.547551Z"
27,"1","2026-01-14T19:40:53.715823Z",27,4.743,"Positive","Had a wonderful time with my friends here.","2026-01-14T19:40:53.715823Z"
28,"1","2026-01-14T19:41:13.187184Z",28,19.008,"Neutral","The setup process was quite confusing.","2026-01-14T19:41:13.187184Z"
29,"1","2026-01-14T19:41:21.408939Z",29,7.721,"Neutral","Product quality is okay but overpriced.","2026-01-14T19:41:21.408939Z"
30,"1","2026-01-14T19:41:28.987211Z",30,7.135,"Positive","It’s a must-have for any enthusiast!","2026-01-14T19:41:28.987211Z"
31,"1","2026-01-14T19:41:35.254669Z",31,5.825,"Positive","My kids love it; keeps them entertained.","2026-01-14T19:41:35.254669Z"
32,"1","2026-01-14T19:41:52.025873Z",32,16.235,"Negative","The instructions were missing; had to guess.","2026-01-14T19:41:52.025873Z"
33,"1","2026-01-14T19:41:56.625491Z",33,4.019,"Positive","Absolutely worth the price for the value.","2026-01-14T19:41:56.625491Z"
34,"1","2026-01-14T19:42:10.118241Z",34,12.913,"Neutral","It doesn’t work well with my other devices.","2026-01-14T19:42:10.118241Z"
35,"1","2026-01-14T19:42:18.404994Z",35,7.714,"Positive","The coffee here is the best I’ve tasted.","2026-01-14T19:42:18.404994Z"
36,"1","2026-01-14T19:43:06.051186Z",36,47.084,"Negative","I didn’t find it very helpful or informative.","2026-01-14T19:43:06.051186Z"
37,"1","2026-01-14T19:43:38.562447Z",37,31.681,"Positive","Elegant design and easy to use.","2026-01-14T19:43:38.562447Z"
38,"1","2026-01-14T19:43:45.035364Z",38,5.955,"Positive","Arrived much sooner than expected, thank you!","2026-01-14T19:43:45.035364Z"
39,"1","2026-01-14T19:44:15.503965Z",39,29.637,"Negative","The app is slow and lags frequently.","2026-01-14T19:44:15.503965Z"
40,"1","2026-01-14T19:45:11.562599Z",40,55.546,"Positive","I’m very impressed with the craftsmanship.","2026-01-14T19:45:11.562599Z"
41,"1","2026-01-14T19:45:29.720429Z",41,17.669,"Negative","Too bulky and not very practical.","2026-01-14T19:45:29.720429Z"
42,"1","2026-01-14T19:45:34.563739Z",42,4.337,"Positive","One of the best purchases I’ve made this year.","2026-01-14T19:45:34.563739Z"
43,"1","2026-01-14T19:45:39.138950Z",43,4.088,"Negative","The taste is bland and lacks depth.","2026-01-14T19:45:39.138950Z"
44,"1","2026-01-14T19:45:43.741869Z",44,3.986,"Positive","Efficient service and polite staff.","2026-01-14T19:45:43.741869Z"
45,"1","2026-01-14T19:45:47.721848Z",45,3.552,"Negative","I wouldn’t recommend this to anyone.","2026-01-14T19:45:47.721848Z"
46,"1","2026-01-14T19:45:52.427502Z",46,4.223,"Positive","Beautifully packaged and arrived in perfect condition.","2026-01-14T19:45:52.427502Z"
47,"1","2026-01-14T19:45:59.186532Z",47,6.19,"Negative","It overheats quickly, making it uncomfortable to use.","2026-01-14T19:45:59.186532Z"
48,"1","2026-01-14T19:46:04.716925Z",48,4.908,"Positive","Definitely lived up to the hype!","2026-01-14T19:46:04.716925Z"
105,"1","2026-01-14T19:56:01.048103Z",49,30.531,"Negative","The size was smaller than advertised.","2026-01-14T19:56:01.048103Z"
50,"1","2026-01-14T19:46:26.646977Z",50,6.782,"Neutral","Good for beginners but not advanced users.","2026-01-14T19:46:26.646977Z"
51,"1","2026-01-14T19:46:33.102895Z",51,5.956,"Negative","The dessert was too sweet for my liking.","2026-01-14T19:46:33.102895Z"
52,"1","2026-01-14T19:46:40.404932Z",52,6.769,"Positive","Outstanding quality and prompt delivery.","2026-01-14T19:46:40.404932Z"
53,"1","2026-01-14T19:46:48.471886Z",53,7.468,"Negative","I returned it because it didn’t meet my needs.","2026-01-14T19:46:48.471886Z"
54,"1","2026-01-14T19:46:54.340961Z",54,5.283,"Neutral","It’s just okay, nothing special about it.","2026-01-14T19:46:54.340961Z"
55,"1","2026-01-14T19:46:58.610568Z",55,3.773,"Positive","Fast shipping and reliable seller.","2026-01-14T19:46:58.610568Z"
56,"1","2026-01-14T19:47:06.480338Z",56,7.122,"Negative","Doesn’t hold up well after multiple uses.","2026-01-14T19:47:06.480338Z"
57,"1","2026-01-14T19:47:11.604407Z",57,4.631,"Positive","Loved the vibrant colors and sleek design.","2026-01-14T19:47:11.605408Z"
58,"1","2026-01-14T19:47:18.273903Z",58,6.064,"Negative","Not durable; broke after a few uses.","2026-01-14T19:47:18.273903Z"
59,"1","2026-01-14T19:47:25.237779Z",59,6.462,"Positive","Customer support resolved my issue quickly.","2026-01-14T19:47:25.237779Z"
60,"1","2026-01-14T19:47:36.028286Z",60,10.321,"Negative","Feels very lightweight and cheap.","2026-01-14T19:47:36.028286Z"
61,"1","2026-01-14T19:47:42.402418Z",61,5.916,"Positive","The fragrance is subtle and long-lasting.","2026-01-14T19:47:42.402418Z"
62,"1","2026-01-14T19:47:48.741006Z",62,5.813,"Negative","I found it very difficult to assemble.","2026-01-14T19:47:48.741006Z"
63,"1","2026-01-14T19:47:54.444927Z",63,5.188,"Positive","Good value for money, in my opinion.","2026-01-14T19:47:54.444927Z"
64,"1","2026-01-14T19:48:07.378047Z",64,12.393,"Negative","Poor sound quality and uncomfortable fit.","2026-01-14T19:48:07.378047Z"
65,"1","2026-01-14T19:48:12.465937Z",65,4.594,"Positive","Amazing customer experience every time!","2026-01-14T19:48:12.465937Z"
66,"1","2026-01-14T19:48:32.491921Z",66,19.408,"Positive","The screen quality is impressive and bright.","2026-01-14T19:48:32.491921Z"
67,"1","2026-01-14T19:48:38.317161Z",67,5.291,"Negative","Didn’t work as advertised; quite disappointed.","2026-01-14T19:48:38.318187Z"
68,"1","2026-01-14T19:48:47.888498Z",68,9.071,"Positive","So relaxing and peaceful, highly recommend!","2026-01-14T19:48:47.888498Z"
69,"1","2026-01-14T19:48:53.481332Z",69,5.079,"Negative","The product is smaller than expected.","2026-01-14T19:48:53.481332Z"
70,"1","2026-01-14T19:49:02.824056Z",70,8.885,"Neutral","The taste is a bit unusual but enjoyable.","2026-01-14T19:49:02.824056Z"
71,"1","2026-01-14T19:49:09.650910Z",71,6.321,"Positive","Looks very stylish and modern.","2026-01-14T19:49:09.650910Z"
72,"1","2026-01-14T19:49:18.739643Z",72,8.54,"Neutral","Packaging could be improved to prevent damage.","2026-01-14T19:49:18.739643Z"
73,"1","2026-01-14T19:49:26.110657Z",73,6.648,"Positive","Absolutely love it; exceeded my expectations.","2026-01-14T19:49:26.110657Z"
74,"1","2026-01-14T19:49:34.294038Z",74,7.663,"Negative","Not as powerful as described.","2026-01-14T19:49:34.294038Z"
75,"1","2026-01-14T19:49:39.256272Z",75,4.414,"Positive","Perfect for my needs, very satisfied.","2026-01-14T19:49:39.256272Z"
76,"1","2026-01-14T19:49:44.062531Z",76,4.304,"Negative","The battery life is too short.","2026-01-14T19:49:44.062531Z"
77,"1","2026-01-14T19:50:14.405770Z",77,29.784,"Positive","Feels very sturdy and well-made.","2026-01-14T19:50:14.405770Z"
78,"1","2026-01-14T19:50:25.950080Z",78,10.884,"Positive","The product is lightweight and easy to carry.","2026-01-14T19:50:25.950080Z"
79,"1","2026-01-14T19:50:33.989867Z",79,7.474,"Negative","The quality doesn’t justify the price.","2026-01-14T19:50:33.989867Z"
80,"1","2026-01-14T19:50:50.262551Z",80,15.753,"Positive","Great for everyday use and comfortable.","2026-01-14T19:50:50.262551Z"
81,"1","2026-01-14T19:51:01.514197Z",81,10.767,"Neutral","Very difficult to set up initially.","2026-01-14T19:51:01.515712Z"
108,"1","2026-01-14T19:57:41.798424Z",82,17.415999999999997,"Positive","The print quality is crisp and clear.","2026-01-14T19:57:41.798424Z"
83,"1","2026-01-14T19:51:21.391267Z",83,8.607,"Negative","Not recommended for high-performance use.","2026-01-14T19:51:21.391267Z"
84,"1","2026-01-14T19:51:32.979195Z",84,11.089,"Positive","Very comfortable to wear all day long.","2026-01-14T19:51:32.979195Z"
85,"1","2026-01-14T19:51:40.887646Z",85,7.396,"Positive","The noise cancellation works well.","2026-01-14T19:51:40.887646Z"
86,"1","2026-01-14T19:51:48.673414Z",86,7.29,"Neutral","It’s a decent product but lacks features.","2026-01-14T19:51:48.673414Z"
87,"1","2026-01-14T19:51:58.982301Z",87,9.818,"Negative","The smell is overwhelming and unpleasant.","2026-01-14T19:51:58.982301Z"
88,"1","2026-01-14T19:52:10.316242Z",88,10.723,"Positive","The design is simple but effective.","2026-01-14T19:52:10.316242Z"
89,"1","2026-01-14T19:52:33.795062Z",89,22.881,"Negative","After a week, it stopped working entirely.","2026-01-14T19:52:33.795062Z"
90,"1","2026-01-14T19:52:42.586474Z",90,8.049,"Positive","Surprisingly high quality for the price!","2026-01-14T19:52:42.586474Z"
91,"1","2026-01-14T19:52:48.711094Z",91,5.598,"Negative","Not the color I expected based on the picture.","2026-01-14T19:52:48.711094Z"
92,"1","2026-01-14T19:52:53.736537Z",92,4.506,"Positive","This made my job so much easier.","2026-01-14T19:52:53.737536Z"
93,"1","2026-01-14T19:53:05.716699Z",93,11.511,"Negative","I feel it’s overpriced for what it is.","2026-01-14T19:53:05.716699Z"
94,"1","2026-01-14T19:53:13.861407Z",94,7.679,"Positive","The recipe book is well-organized and helpful.","2026-01-14T19:53:13.861407Z"
106,"1","2026-01-14T19:56:35.696196Z",95,21.049,"Negative","Very flimsy and bends easily.","2026-01-14T19:56:45.648563Z"
96,"1","2026-01-14T19:53:27.623778Z",96,5.172,"Positive","It met all my expectations and more!","2026-01-14T19:53:27.624779Z"
97,"1","2026-01-14T19:53:36.044797Z",97,7.693,"Neutral","This doesn’t fit well with my setup.","2026-01-14T19:53:36.044797Z"
98,"1","2026-01-14T19:53:40.798462Z",98,4.278,"Positive","Easy to clean and maintain.","2026-01-14T19:53:40.798462Z"
99,"1","2026-01-14T19:53:48.012468Z",99,6.733,"Positive","The game has engaging and fun levels.","2026-01-14T19:53:48.012468Z"
100,"1","2026-01-14T19:54:06.420596Z",100,17.905,"Negative","The interface is clunky and outdated.","2026-01-14T19:54:06.420596Z"
101,"1","2026-01-14T19:54:11.663645Z",101,4.625,"Positive","My pet loves it, totally worth it!","2026-01-14T19:54:11.663645Z"
102,"1","2026-01-14T19:54:24.786759Z",102,12.613,"Neutral","Installation took longer than expected.","2026-01-14T19:54:24.786759Z"
103,"1","2026-01-14T19:54:29.069458Z",103,3.753,"Positive","Very informative and easy to understand.","2026-01-14T19:54:29.069458Z"
